date,dead,missing,latitude,longitude
2016-01-30T00:00:00Z,6,64,37.5,11.9
2016-01-30T00:00:00Z,39,0,39.4,26.1
2016-01-29T00:00:00Z,1,0,37.7,26.8
2016-01-29T00:00:00Z,1,0,37.7,26.8
2016-01-28T00:00:00Z,6,0,37,16
2016-01-28T00:00:00Z,26,11,37.7,26.8
2016-01-27T00:00:00Z,7,3,36.8,27.2
2016-01-26T00:00:00Z,5,0,37.3,27.2
2016-01-25T00:00:00Z,1,0,37.8,12.6
2016-01-25T00:00:00Z,1,0,41,22.4
2016-01-26T00:00:00Z,1,0,37.7,26.8
2016-01-24T00:00:00Z,2,0,37.7,26.8
2016-01-24T00:00:00Z,1,0,38.8,26.4
2016-01-24T00:00:00Z,1,0,39.1,26.21
2016-01-23T00:00:00Z,2,0,42.42,22.49
2016-01-23T00:00:00Z,1,0,43.56,13.57
2016-01-23T00:00:00Z,1,0,37.7,26.8
2016-01-22T00:00:00Z,8,0,37.2,26.8
2016-01-22T00:00:00Z,35,0,36.9,26.9
2016-01-21T00:00:00Z,13,11,36.8,26.7
2016-01-21T00:00:00Z,3,0,39.1,26.21
2016-01-20T00:00:00Z,1,0,42.42,22.49
2016-01-18T00:00:00Z,1,8,37.5,11.9
2016-01-18T00:00:00Z,1,0,39.6,26.5
2016-01-18T00:00:00Z,1,0,50.9,1.8
2016-01-17T00:00:00Z,1,0,66.9,29.02
2016-01-16T00:00:00Z,1,0,52.1,4.7
2016-01-16T00:00:00Z,1,0,37.7,26.8
2016-01-16T00:00:00Z,6,0,37.7,26.8
2016-01-15T00:00:00Z,4,0,39,26
2016-01-15T00:00:00Z,1,0,37.2,27
2016-01-15T00:00:00Z,3,0,37.3,26.58
2016-01-05T00:00:00Z,6,0,38.1,26.8
2016-01-11T00:00:00Z,1,0,48.4,2.22
2016-01-11T00:00:00Z,1,5,41.1,16.9
2016-01-11T00:00:00Z,3,3,39.5,26.4
2016-01-08T00:00:00Z,1,0,39.1,26.21
2016-01-08T00:00:00Z,4,0,36.5,26.5
2016-01-09T00:00:00Z,7,0,39.2,26.8
2016-01-08T00:00:00Z,6,0,40,30
2016-01-05T00:00:00Z,1,0,39.6,26.5
2016-01-05T00:00:00Z,7,0,39.44,26.39
2016-01-05T00:00:00Z,29,0,39.44,26.39
2016-01-04T00:00:00Z,2,0,37.6,26.3
2016-01-04T00:00:00Z,1,0,37.6,25.2
2016-01-04T00:00:00Z,1,0,37.7,26.8
2016-01-04T00:00:00Z,4,0,39.6,26.5
2016-01-02T00:00:00Z,1,0,37.4653524,26.9676859
2015-12-28T00:00:00Z,1,0,51.0157,2.2589
2015-12-26T00:00:00Z,1,0,36.74585,-2.65693
2015-12-25T00:00:00Z,2,0,35.9157,-5.40833
2015-12-22T00:00:00Z,11,0,37.711,26.8
2015-12-24T00:00:00Z,18,2,39.1,26.21
2015-12-23T00:00:00Z,0,1,37.16,26.97
2015-12-23T00:00:00Z,13,0,37.29,27.16
2015-12-22T00:00:00Z,2,0,38.3,26.2
2015-12-21T00:00:00Z,2,10,32.952,12.907
2012-12-16T00:00:00Z,1,0,43.2,44.6
2013-06-10T00:00:00Z,1,0,42.683,44.3347
2015-12-18T00:00:00Z,4,0,37.1,27.2
2015-12-19T00:00:00Z,18,0,36.9,27.9
2015-12-18T00:00:00Z,4,0,36.9,27.9
2015-12-16T00:00:00Z,2,0,39.1,26.21
2015-12-16T00:00:00Z,2,0,38.3,26.2
2015-12-16T00:00:00Z,4,0,36.9,27.9
2015-12-15T00:00:00Z,3,3,36.14,29.62
2015-12-15T00:00:00Z,1,0,49.3511,8.1968
2015-12-14T00:00:00Z,1,0,39.44,26.39
2015-12-10T00:00:00Z,4,9,37.29,27.16
2015-12-08T00:00:00Z,1,0,37.29,27.16
2015-12-07T00:00:00Z,11,0,26.7,-15
2015-12-09T00:00:00Z,12,12,37.29,27.16
2015-12-08T00:00:00Z,6,2,38.3,26.2
2015-12-08T00:00:00Z,1,0,50.951,1.861
2015-11-30T00:00:00Z,2,0,35.843,-5.397
2015-12-03T00:00:00Z,1,0,50.92,1.78
2015-12-03T00:00:00Z,1,3,37.29,27.16
2015-12-03T00:00:00Z,1,0,41.1223,22.4402
2015-12-01T00:00:00Z,1,0,36.15,29.51
2015-12-01T00:00:00Z,3,30,38.3,26.2
2015-11-30T00:00:00Z,4,0,17.9,0.7
2015-11-27T00:00:00Z,4,0,39.44,26.39
2015-11-27T00:00:00Z,2,0,36.9,27.9
2015-11-23T00:00:00Z,6,0,30,34
2015-11-22T00:00:00Z,1,0,36.9,27.9
2015-11-24T00:00:00Z,18,0,32.189,4.3962
2015-11-19T00:00:00Z,1,0,62.635,8.1646
2015-11-20T00:00:00Z,1,0,51.0157,2.2589
2015-11-17T00:00:00Z,2,0,52.8128,-1.70278
2015-11-18T00:00:00Z,1,17,27.82,-14.04
2015-11-18T00:00:00Z,1,14,36.9,27.9
2015-11-17T00:00:00Z,1,0,49.634,-1.668
2015-11-17T00:00:00Z,9,2,31.1,27.1
2015-11-13T00:00:00Z,1,0,39.1,26.21
2015-11-13T00:00:00Z,1,0,40.85,25.85
2015-11-13T00:00:00Z,1,0,38.11,26.19
2015-11-15T00:00:00Z,15,0,31.26,34.19
2015-11-11T00:00:00Z,4,2,38.11,26.19
2015-11-11T00:00:00Z,14,0,39.1,26.21
2015-11-06T00:00:00Z,1,1,37.711,26.8
2015-11-07T00:00:00Z,1,0,39.1,26.21
2015-11-05T00:00:00Z,1,1,31.1,27.1
2015-11-03T00:00:00Z,0,4,39.1,26.21
2015-11-03T00:00:00Z,4,0,39.1,26.21
2015-11-01T00:00:00Z,4,6,37.29,27.16
2015-10-29T00:00:00Z,3,38,39.1,26.21
2015-10-31T00:00:00Z,1,0,45.257,19.1235
2015-11-01T00:00:00Z,15,0,37.71,26.8
2015-10-29T00:00:00Z,4,39,35.9,-5.5
2015-10-29T00:00:00Z,8,0,39.1,26.21
2015-10-29T00:00:00Z,3,3,36.55,28.22
2015-10-29T00:00:00Z,19,0,37.01,27.12
2015-10-29T00:00:00Z,1,0,52.5072,13.144
2015-10-28T00:00:00Z,3,0,37.465,26.967
2015-10-28T00:00:00Z,4,0,37.711,26.8
2015-10-28T00:00:00Z,1,0,39,26.1911
2015-10-28T00:00:00Z,3,0,39.1,26.2
2015-10-26T00:00:00Z,1,0,39,26.19101
2015-10-26T00:00:00Z,1,0,38.11,26.19
2015-10-25T00:00:00Z,3,7,39,26.191
2015-10-26T00:00:00Z,1,0,35.9,-5.31
2015-10-26T00:00:00Z,1,0,50.951,1.861
2015-10-24T00:00:00Z,43,0,32.55,14.668
2015-10-21T00:00:00Z,0,15,37.87,27.18
2015-10-21T00:00:00Z,6,0,33.31,13.71
2015-10-22T00:00:00Z,2,1,39.366,26.67
2015-10-17T00:00:00Z,1,0,37,27
2015-10-17T00:00:00Z,12,11,39.1,26.191
2015-10-16T00:00:00Z,4,3,37.0211,27.151
2015-10-18T00:00:00Z,4,1,36.155,29.584
2015-10-18T00:00:00Z,1,0,37.299,27.167
2015-10-16T00:00:00Z,1,0,42.3453,27.1638
2015-10-16T00:00:00Z,1,0,50.9279,1.7875
2015-10-14T00:00:00Z,3,0,39.11,26.191
2015-10-15T00:00:00Z,1,0,50.951,1.86
2015-10-15T00:00:00Z,12,0,37.1,27
2015-10-15T00:00:00Z,7,1,39.1,26.191
2015-10-11T00:00:00Z,11,0,32.07,31.05
2015-10-09T00:00:00Z,1,0,39.1,26.19
2015-10-09T00:00:00Z,2,0,35.9,-5.3
2015-10-03T00:00:00Z,2,0,31.1,27.1
2015-10-04T00:00:00Z,1,0,42.24,21.7
2015-10-03T00:00:00Z,10,0,33.1,12.6
2015-10-03T00:00:00Z,85,0,34.4,14.11
2015-10-05T00:00:00Z,1,0,50.6392547,11.3581621
2015-09-30T00:00:00Z,2,0,39.1,26.2
2015-09-29T00:00:00Z,1,5,40.7014,26.02
2015-09-29T00:00:00Z,1,0,50.95,1.86
2015-09-25T00:00:00Z,0,7,31,27.09
2015-09-27T00:00:00Z,17,0,37.0502,27.223749
2015-09-24T00:00:00Z,1,0,50.9544,1.8628
2015-09-22T00:00:00Z,1,0,51.971453,7.6240971
2015-09-22T00:00:00Z,0,2,39,26.21
2015-09-20T00:00:00Z,1,0,51.00283,2.1078
2015-09-19T00:00:00Z,1,14,39,26.2
2015-09-18T00:00:00Z,1,0,38.3204079,26.2969054
2015-09-19T00:00:00Z,13,13,40,26.4
2015-09-18T00:00:00Z,7,0,"35,1","17,1"
2015-09-17T00:00:00Z,1,0,50.92,1.82
2015-09-15T00:00:00Z,22,0,31,27.1
2015-09-14T00:00:00Z,2,0,38.41,27.08
2015-09-13T00:00:00Z,0,4,37.71,26.8
2015-09-13T00:00:00Z,34,0,37.29721,27.135624
2015-09-10T00:00:00Z,1,0,46.232789,20.1404686
2015-09-06T00:00:00Z,1,0,35.9,-5.2
2015-09-04T00:00:00Z,1,0,41.5,26.53
2015-09-04T00:00:00Z,1,0,47.5054954,18.5903625
2015-09-03T00:00:00Z,0,30,32.6,15.4
2015-09-05T00:00:00Z,1,0,37.4653524,26.9676859
2015-09-02T00:00:00Z,4,0,40.08,8.98
2015-09-02T00:00:00Z,12,0,31,27
2015-08-30T00:00:00Z,37,0,33.29,14.93
2015-08-29T00:00:00Z,1,0,36.59,27.89
2015-08-27T00:00:00Z,200,0,33,12.2
2015-08-27T00:00:00Z,71,0,48,16.8
2015-08-25T00:00:00Z,1,0,35,14
2015-08-26T00:00:00Z,52,0,35,17
2015-08-24T00:00:00Z,3,0,40.1,26.4
2015-08-24T00:00:00Z,2,5,39.1,26.2
2015-08-16T00:00:00Z,1,0,31.1,27.1
2015-08-19T00:00:00Z,1,0,37.7,26.8
2015-08-18T00:00:00Z,6,0,31.1,27
2015-08-16T00:00:00Z,1,0,37.7,17.2
2015-08-15T00:00:00Z,49,0,37,16.4
2015-08-11T00:00:00Z,1,0,41.07824,1.13346
2015-08-06T00:00:00Z,25,200,33.52,12.69
2015-08-03T00:00:00Z,1,0,36.1,-2.7
2015-08-02T00:00:00Z,4,0,35.9,-5.3
2015-08-02T00:00:00Z,5,0,36.3,18.9
2015-07-07T00:00:00Z,1,0,50.954468,1.862801
2015-07-13T00:00:00Z,1,0,47.7,17.6
2015-07-15T00:00:00Z,1,0,46.1861871,20.0312352
2015-07-01T00:00:00Z,1,0,35.766667,-5.8
2015-07-09T00:00:00Z,12,0,35.5059,12.6073
2015-07-07T00:00:00Z,1,15,37.291,27.08
2015-07-23T00:00:00Z,1,0,50.954468,1.862801
2015-07-20T00:00:00Z,1,0,50.954468,1.862801
2015-07-24T00:00:00Z,1,0,51.081398,1.169456
2015-07-23T00:00:00Z,1,0,51.081398,1.169456
2015-07-20T00:00:00Z,1,0,32.23,26.64
2015-07-07T00:00:00Z,0,30,34,14
2015-07-28T00:00:00Z,14,0,34.4,14.1
2015-07-29T00:00:00Z,1,0,50.954468,1.862801
2015-07-29T00:00:00Z,1,0,48.858,2.2946
2015-06-16T00:00:00Z,30,0,19.0086,12.88579
2015-06-23T00:00:00Z,1,0,34,14
2015-06-24T00:00:00Z,18,0,18.733,7.383
2015-06-29T00:00:00Z,1,0,50.95,1.95
2015-06-15T00:00:00Z,1,2,34,14
2015-06-14T00:00:00Z,18,0,19.213588,6.800537
2015-06-01T00:00:00Z,1,0,50.9247443,1.8000638
2015-05-31T00:00:00Z,17,0,34.542858,13.704729
2015-05-29T00:00:00Z,11,0,33.641882,12.847345
2015-05-25T00:00:00Z,5,0,33.44238,25.610113
2015-05-23T00:00:00Z,5,0,35.696508,11.107726
2015-05-12T00:00:00Z,1,1,45.7283752,5.0131031
2015-05-05T00:00:00Z,1,0,50.736744,2.243632
2015-05-05T00:00:00Z,40,0,37.2,11.199903
2015-05-03T00:00:00Z,10,0,33.06503,13.413009
2015-05-02T00:00:00Z,3,0,31.510077,30.21185
2015-04-24T00:00:00Z,14,0,41.713846,21.770409
2015-04-22T00:00:00Z,1,0,39.50615,20.265534
2015-04-20T00:00:00Z,20,0,33.349987,13.58879
2015-04-20T00:00:00Z,3,0,36.434963,28.217483
2015-04-19T02:00:00Z,24,739,33.867198,12.279102
2015-04-17T00:00:00Z,1,0,33.349987,13.58879
2015-04-16T00:00:00Z,0,41,36.2,12.5
2015-04-14T00:00:00Z,0,12,34.7,15.5
2015-04-13T02:00:00Z,9,400,35,15.1
2015-04-12T00:00:00Z,9,0,33.4,15.3
2015-04-11T00:00:00Z,1,0,34.9,15
2015-04-10T00:00:00Z,1,0,32,30.6
2015-04-07T00:00:00Z,7,4,36.6,27.9
2015-03-17T00:00:00Z,5,0,36.9,27.4
2015-03-09T00:00:00Z,4,8,29.01,-12.79
2015-03-04T00:00:00Z,10,40,36.1,15.2
2015-02-26T00:00:00Z,2,0,51.924,1.44
2015-02-13T00:00:00Z,1,0,40.634676,22.943048
2015-02-10T00:00:00Z,0,300,33.7,13.6
2015-02-10T00:00:00Z,1,0,38.1260386,23.7367192
2015-02-09T00:00:00Z,29,0,35.4,12.6
2015-01-30T00:00:00Z,8,0,35.235482,-2.873268
2015-01-22T00:00:00Z,1,20,35.4,14
2015-01-20T00:00:00Z,12,0,32.5,13.3
